id,name,activity_type,distance,average_grade,maximum_grade,elevation_high,elevation_low,total_elevation_gain,kom,qom,climb_score,is_flat,custom_climb_category,country,region
2699447,Stara Strunjanska,Ride,2294.28,4.3,9.4,92.8,-5.8,98.6,4:07,5:24,4.2398,False,3.0,Slovenia,Piran
11956609,vzpon tlakovci seča,Ride,431.4,5.7,18.0,30.2,5.6,24.6,31s,45s,1.4022,False,2.0,Slovenia,Piran
20080155,Sv. Jernej,Ride,1765.4,0.1,1.1,-5.4,-9.4,4.0,2:13,2:50,0.004,True,0.0,Slovenia,Piran
15727836,Šprint sv. Jernej,Ride,2105.3,-1.9,0.0,114.0,75.0,0.0,2:43,3:24,0.0,False,1.0,Slovenia,Piran
19332247,OS Secovlje,Ride,359.1,0.4,1.5,7.8,6.4,0.0,25s,38s,0.0,True,0.0,Slovenia,Piran
14943749,Saline Sicciole,Ride,3549.6,0.0,5.8,4.0,-2.0,6.0,4:50,6:06,0.0,True,0.0,Slovenia,Piran
10741245,Koper-Izola,Ride,3034.8,-0.2,38.5,31.8,1.8,123.7,3:11,3:37,-0.2474,True,0.0,Slovenia,"Izola, Koper"
1782382,Izola - Belveder,Ride,1165.76,5.5,18.1,82.2,16.0,67.1912,2:02,2:53,3.695516,False,3.0,Slovenia,Izola
26304972,Ruda sprint,Ride,332.4,0.5,3.3,22.6,18.0,4.6,20s,24s,0.023,True,0.0,Slovenia,"Izola, Koper"
10370629,Dobrava do cerkve,Ride,1262.7,4.6,10.0,77.0,19.0,58.0,2:20,2:59,2.668,False,2.0,Slovenia,Izola
1911147,Korte Climb,Ride,2036.09,8.6,15.1,213.8,38.8,175.0,5:54,8:07,15.05,False,4.0,Slovenia,Piran
1819670,Korte Climb,Ride,1432.52,6.6,25.1,205.4,110.9,106.769,3:05,3:39,7.046754,False,4.0,Slovenia,Piran
2212276,seča-korte,Ride,4055.93,4.4,25.1,206.1,26.0,0.0,9:03,12:03,0.0,False,1.0,Slovenia,Piran
9406836,Šmarje DH,Ride,2827.4,-5.5,0.0,204.0,48.4,2.0,1:59,2:27,-0.11,False,1.0,Slovenia,"Piran, Koper"
7022368,Stara Šmarska,Ride,4396.0,4.4,40.3,215.2,16.1,289.6,7:38,10:08,12.7424,False,4.0,Slovenia,Koper
7923918,vanganel-babici,Ride,3162.6,5.0,11.2,190.4,30.8,159.6,6:20,8:37,7.98,False,4.0,Slovenia,Koper
24643819,Salitina,Ride,1148.5,2.2,6.9,15.0,-12.4,27.4,1:09,2:02,0.6028,False,2.0,Slovenia,Koper
25118291,Bertoki - OMW,Ride,2109.3,-0.2,3.3,14.8,5.2,10.2,2:07,2:54,-0.0204,True,0.0,Slovenia,Koper
2125072,Babici-Pomjan,Ride,2135.1,7.8,31.3,364.0,198.4,179.893,5:55,8:17,14.031654,False,4.0,Slovenia,Koper
647995,Nova Vas,Ride,1494.01,6.2,20.8,280.0,186.8,93.2,3:33,4:34,5.7784,False,3.0,Slovenia,Koper
14983384,Strappo Kavaliči,Ride,301.7,3.6,10.8,238.8,228.0,10.8,19s,24s,0.3888,False,2.0,,Koper
22627178,Pomjan climb,Ride,315.0,5.3,19.4,370.8,349.0,21.8,29s,48s,1.1554,False,2.0,Slovenia,Koper
19666096,Gremo na Črni kal,Ride,5602.0,4.7,7.4,308.0,43.4,264.6,11:25,13:24,12.4362,False,4.0,,Koper
5674220,kubed,Ride,4209.1,3.9,13.0,240.6,75.2,165.4,7:41,9:02,6.4506,False,3.0,Slovenia,Koper
22468946,Crni kal bivio kastelec,Ride,3831.4,4.2,6.2,336.8,177.0,159.8,6:52,8:53,6.7116,False,4.0,Slovenia,Koper
5034064,Marezige climb,Ride,2157.4,4.4,14.0,284.0,188.0,96.0,4:23,5:50,4.224,False,3.0,Slovenia,Koper
17099541,Galantiči,Ride,374.9,6.5,13.8,342.9,318.4,24.5,31s,49s,1.5925,False,2.0,Slovenia,Koper
27025165,Vrh Dekani Rizana,Ride,4473.2,0.3,5.1,50.8,29.4,33.9,4:46,5:59,0.1017,True,0.0,Slovenia,Koper
14715874,Crni Kal - Rizana downhill,Ride,6036.4,-4.5,0.0,369.6,98.6,0.0,5:37,5:46,0.0,False,1.0,Slovenia,Koper
8499882,Tajano from Podgorje (most hard climb),Ride,4210.4,10.6,24.6,961.4,514.2,450.6,20:29,30:45,47.7636,False,5.0,Slovenia,"Hrpelje-Kozina, Koper"
1728628,Rakitovec 71 Climb,Ride,2996.01,9.9,25.8,499.5,203.6,303.388,10:11,15:51,30.035412,False,5.0,Slovenia,Koper
26174932,odcep Bezovica-Kubed,Ride,535.6,5.6,15.0,90.2,56.8,33.4,1:05,1:43,1.8704,False,2.0,Slovenia,Koper
24810338,mejni prehod - Sočerga,Ride,2272.6,3.9,5.8,317.4,228.4,89.0,4:34,6:21,3.471,False,3.0,Slovenia,Koper
10623309,Route66,Ride,5138.0,-1.0,6.1,490.3,425.2,29.5,5:50,6:33,-0.295,True,0.0,Slovenia,Koper
4151715,Crnotice straight,Ride,1345.3,0.6,3.6,449.1,435.2,14.6,1:42,2:25,0.0876,True,0.0,Slovenia,"Hrpelje-Kozina, Koper"
7973747,Presnica - Podgorje sterraton,Ride,3419.6,-0.1,5.2,494.4,474.4,25.3,6:00,7:28,-0.0253,True,0.0,Slovenia,"Hrpelje-Kozina, Koper"
12999881,Smokvica cez brda,Ride,1066.9,2.8,14.5,321.6,278.4,43.2,1:56,3:18,1.2096,False,2.0,Slovenia,Koper
19947544,ritomece velike loce,Ride,1428.2,-5.1,4.5,622.6,545.6,7.0,3:09,4:12,-0.357,False,1.0,Slovenia,Hrpelje-Kozina
25329756,Juriš na Golac,Ride,3793.2,2.2,9.3,650.8,551.2,99.6,,9:32,2.1912,False,2.0,Slovenia,Hrpelje-Kozina
27888782,Golac-Obrov spust,Ride,3722.0,-2.3,4.9,650.3,551.1,17.3,5:04,6:07,-0.3979,False,1.0,Slovenia,Hrpelje-Kozina
13640488,Slavnik-Mala Vrata DH,Ride,2194.9,-8.9,21.7,894.6,676.4,43.6,10:26,20:56,-3.8804,False,1.0,Slovenia,Hrpelje-Kozina
6209071,Prešnica Climb,Ride,3272.7,7.1,27.6,672.0,441.2,232.8,15:25,20:02,16.5288,False,5.0,Slovenia,Hrpelje-Kozina
22061286,Zarečica OUT,Ride,454.1,1.5,8.5,417.4,409.8,7.6,29s,44s,0.114,False,1.0,Slovenia,Ilirska Bistrica
10559492,Harije (iz Podgrada),Ride,1323.7,5.8,16.4,514.7,438.3,80.0,2:51,3:46,4.64,False,3.0,Slovenia,Ilirska Bistrica
26671555,Podbeže climb,Ride,2010.5,6.6,14.8,603.4,471.2,136.4,6:06,6:47,9.0024,False,4.0,Slovenia,Ilirska Bistrica
12827530,OBROV A BLOC,Ride,4407.1,-0.3,18.5,591.4,527.7,89.1,5:26,6:32,-0.2673,True,0.0,Slovenia,"Hrpelje-Kozina, Ilirska Bistrica"
25125480,Zalči - Podgrad climb,Ride,3373.0,3.1,7.0,560.0,457.0,103.0,6:14,8:00,3.193,False,3.0,Slovenia,Ilirska Bistrica
23625628,starod climb,Ride,822.4,10.1,39.0,736.8,653.8,83.0,2:28,3:49,8.383,False,4.0,Slovenia,Ilirska Bistrica
5735671,Harije-Dobropolje,Ride,2804.6,-4.1,4.7,527.8,412.0,2.4,2:17,2:53,-0.0984,False,1.0,Slovenia,Ilirska Bistrica
15743432,Podrgrad dwnhl,Ride,3842.4,-2.7,2.7,545.8,440.8,0.0,2:51,4:28,0.0,False,1.0,,Ilirska Bistrica
24289694,SEVENTEEN Sprint,Ride,351.3,0.9,5.2,430.4,425.0,5.4,19s,26s,0.0486,True,0.0,Slovenia,Ilirska Bistrica
2421590,Crne njive climb,Ride,2500.39,6.9,22.9,598.2,426.7,188.751,3:41,7:16,13.023819,False,4.0,Slovenia,Ilirska Bistrica
19924505,Novokracine climb,Ride,1488.0,7.6,12.4,617.6,504.0,113.6,4:10,5:32,8.6336,False,4.0,Slovenia,Ilirska Bistrica
8195484,M.bukovica-Starod,Ride,7124.0,4.4,31.2,767.4,447.4,370.0,17:47,22:07,16.28,False,5.0,Slovenia,Ilirska Bistrica
6913151,Ubrš,Ride,1631.2,7.0,17.9,582.4,467.6,114.8,4:17,5:39,8.036,False,4.0,Slovenia,Ilirska Bistrica
15501795,Strma Reber (nova cesta),Ride,8106.8,8.1,19.2,965.6,305.7,0.0,25:37,32:34,0.0,False,1.0,Slovenia,Osilnica
24632668,Strma Serpentine down,Ride,3817.9,-9.2,-1.4,971.2,619.6,0.0,4:35,5:09,0.0,False,1.0,Slovenia,Osilnica
12494221,Zgornji Čačič - Strma reber,Ride,4543.2,8.7,19.1,920.8,524.6,396.2,14:25,19:02,34.4694,False,5.0,Slovenia,Osilnica
7111515,Strmo reber iz Borovca,Ride,5727.2,5.5,49.0,1002.2,681.3,381.3,14:32,20:09,20.9715,False,5.0,Slovenia,"Kocevje, Osilnica"
25158476,Strma reber last 2 km,Ride,1170.9,7.1,14.1,980.4,897.6,82.8,2:58,3:59,5.8788,False,3.0,Slovenia,Osilnica
15060374,Strma Reber-Borovec spust,Ride,5627.6,-5.5,15.4,1002.7,687.0,59.8,5:14,6:10,-3.289,False,1.0,Slovenia,"Kocevje, Osilnica"
